verb_lemma	P(verb)	P(CAUS)	expected_P(CAUS^verb)	actual_P(CAUS^verb)	log_odds_ratio
tepki	0.0	0.064	0.0	9.633911368015414e-14	
birik	0.0	0.064	0.0	0.3603082851637765	
varsay	0.0	0.064	0.0	9.765625e-14	
kaçın	0.0	0.064	0.0	9.861932938856017e-14	
boşalt	0.0	0.064	0.0	0.0029644268774703555	
sürükle	0.0	0.064	0.0	0.0019860973187686196	
sınırla	0.0	0.064	0.0	9.940357852882704e-14	
çekiş	0.0	0.064	0.0	0.01919191919191919	
eğit	0.0	0.064	0.0	1.0183299389002037e-13	
aydınlat	0.0	0.064	0.0	1.0183299389002037e-13	
andır	0.0	0.064	0.0	1.0214504596527069e-13	
ısıt	0.0	0.064	0.0	1.0319917440660475e-13	
güncelle	0.0	0.064	0.0	1.040582726326743e-13	
gerile	0.0	0.064	0.0	0.06025369978858351	
devral	0.0	0.064	0.0	1.0706638115631692e-13	
seyret	0.0	0.064	0.0	0.007518796992481203	
ört	0.0	0.064	0.0	0.0010834236186348862	
güven	0.0	0.064	0.0	0.006557377049180328	
dile	0.0	0.064	0.0	1.092896174863388e-13	
yağmala	0.0	0.064	0.0	0.010011123470522803	
kopar	0.0	0.064	0.0	0.09688195991091314	
ateşle	0.0	0.064	0.0	1.1312217194570137e-13	
çözümle	0.0	0.064	0.0	1.1467889908256882e-13	
ünle	0.0	0.064	0.0	1.1587485515643105e-13	
bağışla	0.0	0.064	0.0	0.011614401858304297	
hoşlan	0.0	0.064	0.0	1.1614401858304297e-13	
alış	0.0	0.064	0.0	0.18352941176470589	
boya	0.0	0.064	0.0	0.0295159386068477	
boğ	0.0	0.064	0.0	0.11834319526627218	
batır	0.0	0.064	0.0	0.0011933174224343676	
zehirle	0.0	0.064	0.0	0.03937947494033413	
tırman	0.0	0.064	0.0	0.03473053892215569	
uyu	0.0	0.064	0.0	0.09123649459783914	
naklet	0.0	0.064	0.0	0.018028846153846152	
bombala	0.0	0.064	0.0	0.0012077294685990338	
ısın	0.0	0.064	0.0	0.010869565217391304	
ayrış	0.0	0.064	0.0	0.4209245742092457	
uzlaş	0.0	0.064	0.0	0.11585365853658537	
görüntüle	0.0	0.064	0.0	1.234567901234568e-13	
diz	0.0	0.064	0.0	0.007425742574257425	
ez	0.0	0.064	0.0	0.012391573729863693	
kana	0.0	0.064	0.0	0.02743142144638404	
ertele	0.0	0.064	0.0	0.008760951188986232	
kodla	0.0	0.064	0.0	1.251564455569462e-13	
sız	0.0	0.064	0.0	0.3132832080200501	
feshet	0.0	0.064	0.0	0.008793969849246231	
don	0.0	0.064	0.0	0.21566110397946084	
ger	0.0	0.064	0.0	0.02849740932642487	
aydınlan	0.0	0.064	0.0	0.0013020833333333333	
bulaş	0.0	0.064	0.0	0.14360313315926893	
ilişkilendir	0.0	0.064	0.0	1.3071895424836602e-13	
dal	0.0	0.064	0.0	0.11926605504587157	
şaşır	0.0	0.064	0.0	0.48089591567852435	
resmet	0.0	0.064	0.0	0.0013227513227513227	
şifrele	0.0	0.064	0.0	1.3422818791946308e-13	
um	0.0	0.064	0.0	1.3440860215053765e-13	
simgele	0.0	0.064	0.0	1.364256480218281e-13	
katlet	0.0	0.064	0.0	0.015027322404371584	
karşılaştır	0.0	0.064	0.0	1.3679890560875515e-13	
haberleş	0.0	0.064	0.0	0.005494505494505495	
değin	0.0	0.064	0.0	0.0027662517289073307	
kavra	0.0	0.064	0.0	0.005555555555555556	
çevrele	0.0	0.064	0.0	1.3908205841446454e-13	
öv	0.0	0.064	0.0	0.001394700139470014	
ağla	0.0	0.064	0.0	0.05750350631136045	
küçül	0.0	0.064	0.0	0.36185133239831696	
yıka	0.0	0.064	0.0	1.4124293785310736e-13	
çiftleş	0.0	0.064	0.0	0.06392045454545454	
sakatla	0.0	0.064	0.0	1.422475106685633e-13	
onar	0.0	0.064	0.0	0.04741379310344827	
azlet	0.0	0.064	0.0	0.01875901875901876	
tutun	0.0	0.064	0.0	0.011577424023154847	
güt	0.0	0.064	0.0	1.457725947521866e-13	
çözün	0.0	0.064	0.0	0.019230769230769232	
hapset	0.0	0.064	0.0	0.03129657228017884	
aşın	0.0	0.064	0.0	0.3023952095808383	
kesiş	0.0	0.064	0.0	0.004497751124437781	
sus	0.0	0.064	0.0	0.19398496240601504	
sök	0.0	0.064	0.0	0.0783132530120482	
devril	0.0	0.064	0.0	1.5105740181268882e-13	
devir	0.0	0.064	0.0	1.5384615384615384e-13	
kayna	0.0	0.064	0.0	0.44769230769230767	
özetle	0.0	0.064	0.0	0.0015455950540958269	
göç	0.0	0.064	0.0	1.545595054095827e-13	
affet	0.0	0.064	0.0	0.03255813953488372	
arın	0.0	0.064	0.0	0.590625	
indirge	0.0	0.064	0.0	1.5723270440251573e-13	
sars	0.0	0.064	0.0	1.5748031496062994e-13	
yavaşla	0.0	0.064	0.0	0.4486571879936809	
sıçra	0.0	0.064	0.0	0.061708860759493674	
boşal	0.0	0.064	0.0	1.589825119236884e-13	
yar	0.0	0.064	0.0	0.001589825119236884	
sön	0.0	0.064	0.0	0.448	
kaz	0.0	0.064	0.0	0.051364365971107544	
kız	0.0	0.064	0.0	0.36935483870967745	
konuşlan	0.0	0.064	0.0	0.49596122778675283	
parla	0.0	0.064	0.0	0.14378029079159935	
konakla	0.0	0.064	0.0	0.0033277870216306157	
saç	0.0	0.064	0.0	0.05912162162162162	
bürün	0.0	0.064	0.0	0.038917089678511	
toparla	0.0	0.064	0.0	1.7035775127768313e-13	
oy	0.0	0.064	0.0	0.00684931506849315	
çekin	0.0	0.064	0.0	1.7152658662092625e-13	
salgıla	0.0	0.064	0.0	0.00859106529209622	
katlan	0.0	0.064	0.0	1.7211703958691911e-13	
ispatla	0.0	0.064	0.0	0.003484320557491289	
gül	0.0	0.064	0.0	0.1993006993006993	
kastet	0.0	0.064	0.0	1.7513134851138355e-13	
iv	0.0	0.064	0.0	0.01929824561403509	
yapış	0.0	0.064	0.0	0.4182776801405975	
kıyasla	0.0	0.064	0.0	1.8115942028985507e-13	
işit	0.0	0.064	0.0	0.0018214936247723133	
çürü	0.0	0.064	0.0	0.3302752293577982	
bağır	0.0	0.064	0.0	0.01838235294117647	
ör	0.0	0.064	0.0	0.011131725417439703	
noktala	0.0	0.064	0.0	1.8726591760299625e-13	
havalan	0.0	0.064	0.0	0.5706214689265536	
kaynaş	0.0	0.064	0.0	0.21772639691714837	
