verb_lemma	verb_freq	expected_caus_freq	caus_freq	diff
süsle	1333	79.98	3.0	76.98
yolla	1314	78.84	2.0	76.84
çarpış	2394	143.64	69.0	74.64
temizle	1397	83.82	11.0	72.82
tekrarla	1270	76.2	4.0	72.2
doğur	1443	86.58	15.0	71.58
görüş	1382	82.92	12.0	70.92
uyar	1231	73.86	3.0	70.86
ayarla	1186	71.16	1.0	70.16
denetle	1217	73.02	3.0	70.02
kes	6014	360.84	291.0	69.84
oyla	1284	77.04	10.0	67.04
yağ	3066	183.96	117.0	66.96
sorgula	1239	74.34	8.0	66.34
ada	1280	76.8	12.0	64.8
as	1577	94.62	30.0	64.62
gizle	1088	65.28	1.0	64.28
faydalan	1106	66.36	4.0	62.36
donat	1064	63.84	2.0	61.84
doğrula	1204	72.24	13.0	59.24
kov	1178	70.68	12.0	58.68
defnet	1110	66.6	8.0	58.6
sürükle	1007	60.42	2.0	58.42
boşalt	1012	60.72	3.0	57.72
döv	1180	70.8	14.0	56.8
sil	1236	74.16	19.0	55.16
ört	923	55.38	1.0	54.38
yüz	1692	101.52	48.0	53.52
tak	1217	73.02	21.0	52.02
batır	838	50.28	1.0	49.28
güven	915	54.9	6.0	48.9
seyret	931	55.86	7.0	48.86
bombala	828	49.68	1.0	48.68
unut	2226	133.56	85.0	48.56
it	1248	74.88	27.0	47.88
evlen	9119	547.14	500.0	47.14
aydınlan	768	46.08	1.0	45.08
yağmala	899	53.94	9.0	44.94
resmet	756	45.36	1.0	44.36
diz	808	48.48	6.0	42.48
öv	717	43.02	1.0	42.02
bağışla	861	51.66	10.0	41.66
değin	723	43.38	2.0	41.38
ertele	799	47.94	7.0	40.94
feshet	796	47.76	7.0	40.76
ısın	828	49.68	9.0	40.68
çekiş	990	59.4	19.0	40.4
haberleş	728	43.68	4.0	39.68
kavra	720	43.2	4.0	39.2
ez	807	48.42	10.0	38.42
özetle	647	38.82	1.0	37.82
kesiş	667	40.02	3.0	37.02
yar	629	37.74	1.0	36.74
dolaş	2074	124.44	88.0	36.44
naklet	832	49.92	15.0	34.92
konakla	601	36.06	2.0	34.06
tutun	691	41.46	8.0	33.46
katlet	732	43.92	11.0	32.92
ispatla	574	34.44	2.0	32.44
işit	549	32.94	1.0	31.94
oy	584	35.04	4.0	31.04
salgıla	582	34.92	5.0	29.92
üz	496	29.76	1.0	28.76
azlet	693	41.58	13.0	28.58
ek	496	29.76	2.0	27.76
çözün	676	40.56	13.0	27.56
yatır	470	28.2	1.0	27.2
em	1336	80.16	53.0	27.16
kalkın	1417	85.02	58.0	27.02
aşağıla	456	27.36	1.0	26.36
ör	539	32.34	6.0	26.34
kana	802	48.12	22.0	26.12
dışla	451	27.06	1.0	26.06
boya	847	50.82	25.0	25.82
süz	460	27.6	2.0	25.6
belgele	434	26.04	1.0	25.04
yığ	448	26.88	2.0	24.88
tap	427	25.62	1.0	24.62
ger	772	46.32	22.0	24.32
beze	422	25.32	1.0	24.32
zannet	458	27.48	4.0	23.48
iv	570	34.2	11.0	23.2
bağır	544	32.64	10.0	22.64
bur	390	23.4	1.0	22.4
ışı	434	26.04	4.0	22.04
dokun	1149	68.94	47.0	21.94
hastalan	487	29.22	8.0	21.22
tırman	835	50.1	29.0	21.1
yumurtla	362	21.72	1.0	20.72
soy	394	23.64	3.0	20.64
kurgula	345	20.7	1.0	19.7
yut	473	28.38	9.0	19.38
tıka	338	20.28	1.0	19.28
hapset	671	40.26	21.0	19.26
önemse	334	20.04	1.0	19.04
kovala	346	20.76	2.0	18.76
kalkış	325	19.5	1.0	18.5
affet	645	38.7	21.0	17.7
paylaş	4025	241.5	224.0	17.5
korkut	306	18.36	1.0	17.36
zehirle	838	50.28	33.0	17.28
biç	303	18.18	1.0	17.18
öp	350	21.0	4.0	17.0
sapla	315	18.9	2.0	16.9
çiğne	394	23.64	7.0	16.64
giyin	344	20.64	4.0	16.64
ısır	420	25.2	9.0	16.2
kutsa	301	18.06	2.0	16.06
döşe	449	26.94	11.0	15.94
kilitle	292	17.52	2.0	15.52
sol	374	22.44	7.0	15.44
şüphelen	300	18.0	3.0	15.0
katet	256	15.36	1.0	14.36
güreş	268	16.08	2.0	14.08
yalanla	248	14.88	1.0	13.88
kabullen	347	20.82	7.0	13.82
çeliş	245	14.7	1.0	13.7
özle	242	14.52	1.0	13.52
sık	288	17.28	4.0	13.28
yıpran	236	14.16	1.0	13.16
aşıla	234	14.04	1.0	13.04
tep	229	13.74	1.0	12.74
taşla	245	14.7	2.0	12.7
doy	245	14.7	2.0	12.7
bürün	591	35.46	23.0	12.46
boğuş	212	12.72	1.0	11.72
serp	210	12.6	1.0	11.6
tıkla	259	15.54	4.0	11.54
akıt	206	12.36	1.0	11.36
tara	320	19.2	8.0	11.2
soyun	216	12.96	2.0	10.96
zedele	216	12.96	2.0	10.96
evril	187	11.22	1.0	10.22
öpüş	186	11.16	1.0	10.16
dirilt	181	10.86	1.0	9.86
gezin	176	10.56	1.0	9.56
kıy	338	20.28	11.0	9.28
eyle	168	10.08	1.0	9.08
onar	696	41.76	33.0	8.76
örtüş	308	18.48	10.0	8.48
demirle	152	9.12	1.0	8.12
seviş	151	9.06	1.0	8.06
yanaş	433	25.98	18.0	7.98
sansürle	149	8.94	1.0	7.94
zıpla	198	11.88	4.0	7.88
çakış	264	15.84	8.0	7.84
selamla	144	8.64	1.0	7.64
dik	1675	100.5	93.0	7.5
resimle	126	7.56	1.0	6.56
yağla	125	7.5	1.0	6.5
durakla	240	14.4	8.0	6.4
tart	118	7.08	1.0	6.08
çarpıt	117	7.02	1.0	6.02
çak	314	18.84	13.0	5.84
kaz	623	37.38	32.0	5.38
neşret	106	6.36	1.0	5.36
üslen	122	7.32	2.0	5.32
yükseltgen	121	7.26	2.0	5.26
mühürle	96	5.76	1.0	4.76
dalgalan	343	20.58	16.0	4.58
sürü	142	8.52	4.0	4.52
damgala	89	5.34	1.0	4.34
kışla	89	5.34	1.0	4.34
sakın	204	12.24	8.0	4.24
dövüş	417	25.02	21.0	4.02
vazgeçir	98	5.88	2.0	3.88
eşle	81	4.86	1.0	3.86
bile	79	4.74	1.0	3.74
yoğur	75	4.5	1.0	3.5
yasa	108	6.48	3.0	3.48
kus	307	18.42	15.0	3.42
tanıtla	69	4.14	1.0	3.14
ezberle	165	9.9	7.0	2.9
içir	64	3.84	1.0	2.84
sürt	97	5.82	3.0	2.82
kümelen	79	4.74	2.0	2.74
doku	79	4.74	2.0	2.74
bık	143	8.58	6.0	2.58
zincirle	59	3.54	1.0	2.54
yavrula	59	3.54	1.0	2.54
özümse	92	5.52	3.0	2.52
ışılda	75	4.5	2.0	2.5
bula	289	17.34	15.0	2.34
bocala	55	3.3	1.0	2.3
yapraklan	50	3.0	1.0	2.0
kapış	83	4.98	3.0	1.98
kıvran	48	2.88	1.0	1.88
parılda	48	2.88	1.0	1.88
uçuş	47	2.82	1.0	1.82
ağla	713	42.78	41.0	1.78
asfaltla	46	2.76	1.0	1.76
işe	44	2.64	1.0	1.64
kucaklaş	44	2.64	1.0	1.64
öt	93	5.58	4.0	1.58
kıvır	43	2.58	1.0	1.58
gerçekle	42	2.52	1.0	1.52
horla	42	2.52	1.0	1.52
duraksa	57	3.42	2.0	1.42
solu	90	5.4	4.0	1.4
yadırga	72	4.32	3.0	1.32
çınla	54	3.24	2.0	1.24
genleş	137	8.22	7.0	1.22
taşın	37	2.22	1.0	1.22
yuhala	37	2.22	1.0	1.22
doğrul	37	2.22	1.0	1.22
sarar	67	4.02	3.0	1.02
sıyır	50	3.0	2.0	1.0
çatallan	33	1.98	1.0	0.98
acık	33	1.98	1.0	0.98
yit	31	1.86	1.0	0.86
gürle	30	1.8	1.0	0.8
meylet	30	1.8	1.0	0.8
gülümse	178	10.68	10.0	0.68
vuruş	28	1.68	1.0	0.68
karıncalan	27	1.62	1.0	0.62
hakket	27	1.62	1.0	0.62
sızla	27	1.62	1.0	0.62
özümle	26	1.56	1.0	0.56
tartakla	26	1.56	1.0	0.56
büzüş	26	1.56	1.0	0.56
saç	592	35.52	35.0	0.52
kokla	90	5.4	5.0	0.4
parselle	23	1.38	1.0	0.38
çerçevele	23	1.38	1.0	0.38
devin	39	2.34	2.0	0.34
boğazla	20	1.2	1.0	0.2
dola	36	2.16	2.0	0.16
zımparala	19	1.14	1.0	0.14
duyumsa	35	2.1	2.0	0.1
tık	34	2.04	2.0	0.04
mayınla	17	1.02	1.0	0.02
tozlan	16	0.96	1.0	-0.04
iğren	32	1.92	2.0	-0.08
kamplaş	15	0.9	1.0	-0.1
nikâhla	14	0.84	1.0	-0.16
çatırda	14	0.84	1.0	-0.16
sigortala	30	1.8	2.0	-0.2
usan	63	3.78	4.0	-0.22
pulla	13	0.78	1.0	-0.22
gerile	946	56.76	57.0	-0.24
sürç	11	0.66	1.0	-0.34
ihtiyarla	11	0.66	1.0	-0.34
vazet	10	0.6	1.0	-0.4
cisimlen	10	0.6	1.0	-0.4
hüzünlen	10	0.6	1.0	-0.4
darıl	9	0.54	1.0	-0.46
kibirlen	9	0.54	1.0	-0.46
yaşar	42	2.52	3.0	-0.48
kotar	42	2.52	3.0	-0.48
şişle	8	0.48	1.0	-0.52
tüylen	24	1.44	2.0	-0.56
puslan	7	0.42	1.0	-0.58
bayatla	7	0.42	1.0	-0.58
uslan	40	2.4	3.0	-0.6
yudumla	6	0.36	1.0	-0.64
aksır	5	0.3	1.0	-0.7
ürü	4	0.24	1.0	-0.76
tomur	4	0.24	1.0	-0.76
kıvılcımlan	4	0.24	1.0	-0.76
hazmet	37	2.22	3.0	-0.78
tınla	20	1.2	2.0	-0.8
afalla	20	1.2	2.0	-0.8
ocu	3	0.18	1.0	-0.82
mürekkeple	3	0.18	1.0	-0.82
kederlen	3	0.18	1.0	-0.82
pürüzlen	2	0.12	1.0	-0.88
çıtla	2	0.12	1.0	-0.88
gevre	2	0.12	1.0	-0.88
takırda	2	0.12	1.0	-0.88
nihayetlen	2	0.12	1.0	-0.88
bileyle	2	0.12	1.0	-0.88
şıngırda	2	0.12	1.0	-0.88
tıkırda	2	0.12	1.0	-0.88
şahlan	18	1.08	2.0	-0.92
durul	1	0.06	1.0	-0.94
boşat	1	0.06	1.0	-0.94
oynat	1	0.06	1.0	-0.94
kanır	1	0.06	1.0	-0.94
hışırda	1	0.06	1.0	-0.94
sokuş	1	0.06	1.0	-0.94
şapırda	1	0.06	1.0	-0.94
pörtle	1	0.06	1.0	-0.94
atlat	1	0.06	1.0	-0.94
sızdır	1	0.06	1.0	-0.94
zıngırda	1	0.06	1.0	-0.94
pırtla	1	0.06	1.0	-0.94
tıkış	1	0.06	1.0	-0.94
dağla	17	1.02	2.0	-0.98
kımılda	33	1.98	3.0	-1.02
kudur	16	0.96	2.0	-1.04
geber	16	0.96	2.0	-1.04
sıçra	632	37.92	39.0	-1.08
depreş	14	0.84	2.0	-1.16
mevzilen	97	5.82	7.0	-1.18
balla	13	0.78	2.0	-1.22
hopla	28	1.68	3.0	-1.32
darbet	10	0.6	2.0	-1.4
paslan	59	3.54	5.0	-1.46
gocun	8	0.48	2.0	-1.52
semir	7	0.42	2.0	-1.58
imren	23	1.38	3.0	-1.62
hislen	5	0.3	2.0	-1.7
kökleş	37	2.22	4.0	-1.78
hararetlen	3	0.18	2.0	-1.82
şenel	3	0.18	2.0	-1.82
alakalan	3	0.18	2.0	-1.82
kaşın	2	0.12	2.0	-1.88
ümitlen	2	0.12	2.0	-1.88
yassıl	2	0.12	2.0	-1.88
uzat	2	0.12	2.0	-1.88
güneşlen	2	0.12	2.0	-1.88
kaşan	2	0.12	2.0	-1.88
somur	2	0.12	2.0	-1.88
kutuplaş	85	5.1	7.0	-1.9
hortla	17	1.02	3.0	-1.98
ciltle	15	0.9	3.0	-2.1
sün	31	1.86	4.0	-2.14
şişmanla	13	0.78	3.0	-2.22
az	146	8.76	11.0	-2.24
irkil	29	1.74	4.0	-2.26
kırış	11	0.66	3.0	-2.34
yamul	10	0.6	3.0	-2.4
kişne	9	0.54	3.0	-2.46
pisle	9	0.54	3.0	-2.46
çözüş	4	0.24	3.0	-2.76
tıngırda	4	0.24	3.0	-2.76
çiftleş	704	42.24	45.0	-2.76
ene	4	0.24	3.0	-2.76
tiksin	37	2.22	5.0	-2.78
düzle	20	1.2	4.0	-2.8
dilen	3	0.18	3.0	-2.82
bereketlen	3	0.18	3.0	-2.82
açın	3	0.18	3.0	-2.82
sürün	3	0.18	3.0	-2.82
haczet	19	1.14	4.0	-2.86
düze	18	1.08	4.0	-2.92
üşü	67	4.02	7.0	-2.98
odaklaş	16	0.96	4.0	-3.04
ılı	15	0.9	4.0	-3.1
marjinalleş	10	0.6	4.0	-3.4
ayıl	58	3.48	7.0	-3.52
şakla	8	0.48	4.0	-3.52
uçukla	5	0.3	4.0	-3.7
sesle	5	0.3	4.0	-3.7
keyiflen	4	0.24	4.0	-3.76
kokulan	4	0.24	4.0	-3.76
hançerle	32	1.92	6.0	-4.08
heveslen	14	0.84	5.0	-4.16
gıcırda	14	0.84	5.0	-4.16
inle	59	3.54	8.0	-4.46
ucuzla	39	2.34	7.0	-4.66
göçer	5	0.3	5.0	-4.7
tanıt	5	0.3	5.0	-4.7
belirt	5	0.3	5.0	-4.7
yeşer	87	5.22	10.0	-4.78
yuvarla	319	19.14	24.0	-4.86
seğir	17	1.02	6.0	-4.98
ufal	16	0.96	6.0	-5.04
buruş	15	0.9	6.0	-5.1
neticelen	65	3.9	9.0	-5.1
kıpırda	63	3.78	9.0	-5.22
hırslan	12	0.72	6.0	-5.28
kıskan	277	16.62	22.0	-5.38
tokuş	10	0.6	6.0	-5.4
lezzetlen	9	0.54	6.0	-5.46
küs	73	4.38	10.0	-5.62
üleş	6	0.36	6.0	-5.64
süslen	6	0.36	6.0	-5.64
esinlen	6	0.36	6.0	-5.64
eski	189	11.34	17.0	-5.66
kuşkulan	152	9.12	15.0	-5.88
ürper	16	0.96	7.0	-6.04
çıldır	196	11.76	18.0	-6.24
köpür	44	2.64	9.0	-6.36
katış	9	0.54	7.0	-6.46
tüt	42	2.52	9.0	-6.48
benzeş	122	7.32	14.0	-6.68
gururlan	16	0.96	8.0	-7.04
ağrı	32	1.92	9.0	-7.08
atış	106	6.36	14.0	-7.64
dikleş	22	1.32	9.0	-7.68
ever	168	10.08	18.0	-7.92
ferahla	17	1.02	9.0	-7.98
duygulan	31	1.86	10.0	-8.14
çoksa	9	0.54	9.0	-8.46
körel	73	4.38	13.0	-8.62
kırbaçla	49	2.94	12.0	-9.06
mele	26	1.56	11.0	-9.44
belle	26	1.56	11.0	-9.44
kazı	202	12.12	22.0	-9.88
kızış	78	4.68	15.0	-10.32
telaşlan	41	2.46	13.0	-10.54
uyuş	338	20.28	31.0	-10.72
acı	263	15.78	27.0	-11.22
bileş	37	2.22	14.0	-11.78
sök	664	39.84	52.0	-12.16
ekşi	44	2.64	15.0	-12.36
kaygılan	59	3.54	16.0	-12.46
neşelen	20	1.2	14.0	-12.8
sek	201	12.06	25.0	-12.94
dinlen	1433	85.98	99.0	-13.02
çatla	149	8.94	22.0	-13.06
sez	157	9.42	23.0	-13.58
titre	240	14.4	28.0	-13.6
elle	19	1.14	15.0	-13.86
gölgelen	15	0.9	15.0	-14.1
isle	48	2.88	17.0	-14.12
yaklaş	3130	187.8	202.0	-14.2
bitiş	42	2.52	17.0	-14.48
çökel	89	5.34	20.0	-14.66
geçin	503	30.18	45.0	-14.82
titreş	109	6.54	22.0	-15.46
alçal	289	17.34	33.0	-15.66
bastır	17	1.02	17.0	-15.98
ağar	79	4.74	21.0	-16.26
bulan	18	1.08	18.0	-16.92
bez	42	2.52	20.0	-17.48
delir	144	8.64	28.0	-19.36
tat	194	11.64	31.0	-19.36
utan	175	10.5	30.0	-19.5
sersemle	36	2.16	23.0	-20.84
şımar	31	1.86	23.0	-21.14
esne	112	6.72	28.0	-21.28
nemlen	38	2.28	24.0	-21.72
serinle	62	3.72	26.0	-22.28
barış	227	13.62	36.0	-22.38
gücen	60	3.6	26.0	-22.4
vasıflan	25	1.5	24.0	-22.5
geçiş	35	2.1	25.0	-22.9
öfkelen	191	11.46	35.0	-23.54
fışkır	138	8.28	32.0	-23.72
aşır	57	3.42	28.0	-24.58
yeşillen	40	2.4	27.0	-24.6
kara	41	2.46	28.0	-25.54
uyu	833	49.98	76.0	-26.02
çimlen	147	8.82	35.0	-26.18
dinle	1826	109.56	136.0	-26.44
coş	91	5.46	32.0	-26.54
şiddetlen	197	11.82	39.0	-27.18
es	337	20.22	48.0	-27.78
alevlen	155	9.3	38.0	-28.7
koşuş	37	2.22	31.0	-28.78
akset	45	2.7	32.0	-29.3
seyrel	55	3.3	35.0	-31.7
endişelen	189	11.34	44.0	-32.66
kopar	898	53.88	87.0	-33.12
yüreklen	40	2.4	37.0	-34.6
sevin	260	15.6	52.0	-36.4
apar	106	6.36	44.0	-37.64
gez	1695	101.7	141.0	-39.3
terle	199	11.94	52.0	-40.06
şenlen	54	3.24	45.0	-41.76
sinirlen	46	2.76	46.0	-43.24
heyecanlan	47	2.82	47.0	-44.18
oku	10488	629.28	674.0	-44.72
damla	98	5.88	51.0	-45.12
dal	763	45.78	91.0	-45.22
uzlaş	820	49.2	95.0	-45.8
teşkilatlan	240	14.4	62.0	-47.6
tutuş	303	18.18	67.0	-48.82
incel	163	9.78	59.0	-49.22
boğ	845	50.7	100.0	-49.3
parla	619	37.14	89.0	-51.86
eğ	1051	63.06	115.0	-51.94
tanış	4804	288.24	341.0	-52.76
iliş	79	4.74	58.0	-53.26
ergi	183	10.98	65.0	-54.02
kabar	199	11.94	66.0	-54.06
hareketlen	58	3.48	58.0	-54.52
kıs	231	13.86	71.0	-57.14
silahsızlan	181	10.86	68.0	-57.14
sulan	64	3.84	62.0	-58.16
karar	273	16.38	75.0	-58.62
savuş	65	3.9	63.0	-59.1
taçlan	71	4.26	65.0	-60.74
tatlan	68	4.08	66.0	-61.92
dolan	421	25.26	88.0	-62.74
azmet	104	6.24	69.0	-62.76
bulaş	766	45.96	110.0	-64.04
hisset	2314	138.84	206.0	-67.16
cay	159	9.54	78.0	-68.46
kamaş	84	5.04	74.0	-68.96
dayan	8803	528.18	599.0	-70.82
sikle	81	4.86	80.0	-75.14
bölüş	188	11.28	88.0	-76.72
sap	327	19.62	97.0	-77.38
uçur	388	23.28	102.0	-78.72
gül	572	34.32	114.0	-79.68
sığ	267	16.02	96.0	-79.98
yanıl	260	15.6	96.0	-80.4
kaynaş	519	31.14	113.0	-81.86
yıl	187	11.22	95.0	-83.78
din	215	12.9	97.0	-84.1
sus	665	39.9	129.0	-89.1
aksa	281	16.86	109.0	-92.14
otla	164	9.84	103.0	-93.16
eşleş	1111	66.66	162.0	-95.34
buluş	2147	128.82	226.0	-97.18
gevşe	311	18.66	117.0	-98.34
ısla	282	16.92	117.0	-100.08
bilinçlen	160	9.6	111.0	-101.4
alış	850	51.0	156.0	-105.0
eğlen	464	27.84	145.0	-117.16
don	779	46.74	168.0	-121.26
ağaçlan	137	8.22	134.0	-125.78
ilgilen	3835	230.1	356.0	-125.9
çöker	140	8.4	138.0	-129.6
rahatla	324	19.44	166.0	-146.56
çürü	545	32.7	180.0	-147.3
özen	229	13.74	165.0	-151.26
cesaretlen	182	10.92	163.0	-152.08
aşın	668	40.08	202.0	-161.92
kızar	337	20.22	186.0	-165.78
yakış	314	18.84	189.0	-170.16
koş	2118	127.08	298.0	-170.92
yumuşa	430	25.8	212.0	-186.2
yatış	259	15.54	204.0	-188.46
kız	620	37.2	229.0	-191.8
patla	3692	221.52	415.0	-193.48
bağdaş	322	19.32	213.0	-193.68
kuvvetlen	212	12.72	212.0	-199.28
gecik	1144	68.64	268.0	-199.36
sız	798	47.88	250.0	-202.12
yapış	569	34.14	238.0	-203.86
bin	1268	76.08	287.0	-210.92
küçül	713	42.78	258.0	-215.22
ulaş	18862	1131.72	1349.0	-217.28
çağrış	249	14.94	243.0	-228.06
yücel	268	16.08	245.0	-228.92
hafifle	303	18.18	255.0	-236.82
sön	625	37.5	280.0	-242.5
yavaşla	633	37.98	284.0	-246.02
kayna	650	39.0	291.0	-252.0
zayıfla	1160	69.6	332.0	-262.4
otur	5017	301.02	565.0	-263.98
biçimlen	459	27.54	296.0	-268.46
konuşlan	619	37.14	307.0	-269.86
havalan	531	31.86	303.0	-271.14
kavuş	2725	163.5	444.0	-280.5
eri	1315	78.9	362.0	-283.1
anımsa	410	24.6	308.0	-283.4
çoğal	1274	76.44	371.0	-294.56
ayrış	822	49.32	346.0	-296.68
birik	1038	62.28	374.0	-311.72
kan	388	23.28	341.0	-317.72
şaşır	759	45.54	365.0	-319.46
atla	2616	156.96	491.0	-334.04
arın	640	38.4	378.0	-339.6
sin	427	25.62	374.0	-348.38
er	5856	351.36	714.0	-362.64
pekiş	499	29.94	444.0	-414.06
hatırla	1749	104.94	532.0	-427.06
onurlan	462	27.72	462.0	-434.28
uy	3037	182.22	630.0	-447.78
büyü	6808	408.48	858.0	-449.52
kay	1948	116.88	582.0	-465.12
kap	1456	87.36	564.0	-476.64
kuru	1112	66.72	610.0	-543.28
kazan	43031	2581.86	3129.0	-547.14
yönel	3484	209.04	783.0	-573.96
karşılaş	5775	346.5	943.0	-596.5
çarp	3843	230.58	838.0	-607.42
benze	3850	231.0	969.0	-738.0
püskür	1086	65.16	833.0	-767.84
uyan	1974	118.44	1051.0	-932.56
sıkış	1563	93.78	1031.0	-937.22
türe	2716	162.96	1203.0	-1040.04
